agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
20-24,Увс,0,,,,,,,,,,,,,,,,,,2934,1895,2504,1814,1806,1705,1633,2132,1648,1763,1124,1594,2884,1803,1820
20-24,Увс,1,,,,,,,,,,,,,,,,,,2511,2052,1421,1288,1310,1148,1430,1485,1140,1169,727,3027,2272,1361,639
20-24,Ховд,0,,,,,,,,,,,,,,,,,,3417,2281,1968,2684,1832,1356,1784,2684,2160,2161,689,1135,1687,1489,2194
20-24,Ховд,1,,,,,,,,,,,,,,,,,,3070,1884,1881,1283,1410,1322,1066,1685,1434,706,972,637,760,918,341
20-24,Архангай,0,,,,,,,,,,,,,,,,,,2935,2932,2570,2107,2245,2087,1421,1815,1910,2858,3186,1057,1412,1791,1529
20-24,Архангай,1,,,,,,,,,,,,,,,,,,2528,2955,2236,2019,1674,1771,1084,673,944,1144,939,698,763,831,809
20-24,Баянхонгор,0,,,,,,,,,,,,,,,,,,1919,2433,1870,3135,3082,2861,3020,2633,2676,2531,1170,2180,1380,2480,3204
20-24,Баянхонгор,1,,,,,,,,,,,,,,,,,,1896,2284,1996,2213,2551,1936,2179,1740,2001,2332,1285,3415,1877,1642,1556
20-24,Булган,0,,,,,,,,,,,,,,,,,,896,1828,1473,1198,1106,1333,1152,661,1081,888,578,814,947,492,1208
20-24,Булган,1,,,,,,,,,,,,,,,,,,1790,1401,830,916,1078,962,485,502,556,510,554,1058,137,79,286
20-24,Орхон,0,,,,,,,,,,,,,,,,,,1997,2655,1771,3120,2270,1182,1390,2120,1902,1520,1110,1310,1608,1195,1776
20-24,Орхон,1,,,,,,,,,,,,,,,,,,2143,2170,1492,1981,1865,1353,842,1371,1264,1011,1148,575,1083,1072,380
20-24,Өвөрхангай,0,,,,,,,,,,,,,,,,,,4654,4523,2324,3365,2777,2616,1999,2262,2986,3141,1665,2378,2582,1742,1732
20-24,Өвөрхангай,1,,,,,,,,,,,,,,,,,,3743,3191,2395,1404,2447,1954,2121,1360,1287,1796,1930,788,1206,1239,329
20-24,Хөвсгөл,0,,,,,,,,,,,,,,,,,,3927,3748,2884,4257,3639,2963,1947,3314,2915,3129,2200,1327,1128,1323,4144
20-24,Хөвсгөл,1,,,,,,,,,,,,,,,,,,5069,2519,3028,2845,3780,2680,1907,2198,2098,1818,639,1513,1170,999,1295
20-24,Говьсүмбэр,0,,,,,,,,,,,,,,,,,,696,421,305,493,341,243,321,132,252,224,362,387,327,195,251
20-24,Говьсүмбэр,1,,,,,,,,,,,,,,,,,,263,170,351,127,259,60,239,154,157,273,155,232,145,122,384
20-24,Дархан-Уул,0,,,,,,,,,,,,,,,,,,2793,2953,2635,3094,1742,2357,1889,1954,1655,2035,2480,1715,1376,1204,880
20-24,Дархан-Уул,1,,,,,,,,,,,,,,,,,,2062,1798,1705,1785,972,1496,1075,1038,773,1433,1268,720,738,673,370
20-24,Дорноговь,0,,,,,,,,,,,,,,,,,,2148,2550,905,1262,1553,1645,1248,1337,1722,1429,691,1601,1318,1091,1838
20-24,Дорноговь,1,,,,,,,,,,,,,,,,,,1178,1524,398,756,920,952,770,1132,1029,1301,632,334,613,270,967
20-24,Дундговь,0,,,,,,,,,,,,,,,,,,2010,1727,1346,901,811,864,569,863,910,836,976,1607,1448,1239,412
20-24,Дундговь,1,,,,,,,,,,,,,,,,,,1156,1373,782,711,871,605,614,460,572,836,424,913,685,634,687
20-24,Өмнөговь,0,,,,,,,,,,,,,,,,,,2632,2533,2970,1592,1785,1624,1152,1205,1364,1434,1390,613,884,1324,775
20-24,Өмнөговь,1,,,,,,,,,,,,,,,,,,2353,1313,1601,952,1013,1001,902,615,1011,943,653,522,961,796,1268
20-24,Сэлэнгэ,0,,,,,,,,,,,,,,,,,,4678,2320,2814,2804,1992,2080,1666,1596,2314,2919,950,588,673,753,668
20-24,Сэлэнгэ,1,,,,,,,,,,,,,,,,,,2265,1927,1462,1743,1653,981,854,967,1310,1056,767,1221,1229,370,231
